user_id,timestamp,location_change,call_duration,message_count,anomaly
user_10,2023-08-11 03:53:51.861439,0,541,14,0
user_5,2023-01-10 09:13:39.188612,1,512,5,0
user_8,2023-10-26 07:48:34.508951,1,108,2,0
user_8,2023-10-19 04:45:02.508347,0,204,1,1
user_8,2023-01-08 06:13:08.536557,1,216,1,0
user_7,2023-11-28 01:58:50.692234,0,231,10,0
user_7,2023-02-27 20:51:45.729270,1,55,9,0
user_8,2023-03-31 16:02:21.300833,0,587,7,0
user_8,2023-07-12 14:06:29.443192,1,584,15,0
user_4,2023-09-14 03:57:27.101436,1,348,5,0
user_10,2023-12-21 09:03:54.995049,1,577,1,0
user_1,2023-08-19 07:35:02.333962,1,123,18,0
user_4,2023-02-24 00:43:47.778908,0,554,10,0
user_10,2023-06-29 06:19:38.347745,1,83,17,0
user_2,2023-06-24 01:30:25.520940,1,253,10,0
user_8,2023-02-07 20:15:49.137990,1,543,4,0
user_6,2023-11-14 02:04:58.350208,1,21,5,0
user_9,2023-10-09 18:13:47.360137,1,92,7,0
user_6,2023-05-26 04:47:24.499857,0,505,7,1
user_6,2023-02-10 08:49:06.687377,1,362,18,0
user_6,2023-10-31 21:52:22.350831,0,44,3,0
user_9,2023-01-07 16:12:46.670232,1,387,5,0
user_3,2023-11-11 04:09:16.176406,1,314,11,0
user_5,2023-05-17 10:21:35.646180,0,57,2,0
user_4,2023-01-17 20:49:11.355391,0,14,14,0
user_9,2023-09-26 16:17:32.023212,0,212,4,0
user_10,2023-08-01 05:09:25.032957,1,125,13,0
user_5,2023-11-08 16:07:54.311464,0,160,14,0
user_8,2023-12-04 13:21:11.534501,1,23,3,0
user_1,2023-01-28 08:52:44.415975,0,371,1,0
user_4,2023-02-07 01:24:22.964320,1,262,15,0
user_2,2023-11-13 07:06:12.431885,1,316,1,0
user_5,2023-10-10 03:50:36.927796,1,433,11,0
user_5,2023-07-23 20:08:23.159578,1,63,14,0
user_7,2023-04-20 01:48:37.370813,1,344,17,0
user_1,2023-05-06 08:38:51.405435,1,183,9,0
user_10,2023-06-06 09:19:40.413278,0,213,10,0
user_2,2023-05-27 06:07:03.934549,1,578,15,0
user_1,2023-01-13 10:22:55.247109,1,213,11,0
user_2,2023-06-07 05:12:03.705136,0,27,9,0
user_7,2023-07-13 15:30:50.478871,1,272,15,0
user_3,2023-08-13 15:12:32.401303,1,115,12,0
user_8,2023-06-24 14:54:12.176502,1,32,17,0
user_4,2023-06-21 18:23:46.396878,0,206,3,0
user_1,2023-04-14 01:30:35.863434,0,30,18,0
user_9,2023-11-26 12:55:21.464088,0,408,6,0
user_8,2023-12-09 06:08:08.490772,1,436,20,0
user_4,2023-08-21 10:02:44.470857,0,380,20,0
user_7,2023-05-05 01:48:07.179067,0,263,3,0
user_1,2023-03-23 22:43:05.943344,0,440,12,0
user_6,2023-07-23 07:51:45.177723,0,444,2,0
user_8,2023-05-11 21:03:48.261616,1,486,19,0
user_10,2023-02-08 18:00:43.690727,1,552,2,0
user_4,2023-12-20 02:29:35.270735,0,538,17,0
user_8,2023-04-01 13:58:32.164803,0,391,10,0
user_4,2023-02-10 15:02:22.079770,0,383,16,0
user_4,2023-01-08 18:40:56.119944,0,378,10,0
user_3,2023-05-21 10:43:13.323999,0,111,1,0
user_3,2023-11-28 16:17:55.069380,0,251,4,0
user_2,2023-12-07 13:47:00.964846,1,287,10,0
user_6,2023-03-21 21:37:36.685723,0,529,8,0
user_5,2023-12-12 07:46:13.457607,0,104,0,0
user_2,2023-07-05 01:47:04.347002,0,276,3,0
user_7,2023-02-07 21:57:55.195466,1,115,3,0
user_6,2023-05-24 05:31:00.118662,1,422,17,0
user_8,2023-12-23 05:08:03.131786,0,279,18,1
user_7,2023-01-23 08:33:26.751709,1,280,9,0
user_7,2023-02-03 16:19:58.191182,1,510,1,0
user_3,2023-06-24 22:04:23.071387,0,496,9,0
user_10,2023-01-22 11:17:20.543297,0,557,16,0
user_10,2023-08-12 11:32:57.614129,1,460,16,0
user_2,2023-03-27 23:02:41.119039,0,162,2,1
user_9,2023-06-04 13:26:39.105373,0,384,12,0
user_9,2023-03-27 21:13:11.840650,1,74,0,0
user_9,2023-04-07 09:33:21.926536,1,144,20,0
user_6,2023-06-24 12:06:24.367397,1,287,16,1
user_4,2023-10-16 23:34:50.481204,0,302,9,0
user_9,2023-08-26 05:18:34.087862,1,512,8,0
user_6,2023-05-17 17:16:18.553699,1,478,12,1
user_4,2023-05-30 07:05:52.446528,1,324,13,0
user_5,2023-11-18 02:00:53.338644,0,543,6,0
user_8,2023-04-15 06:47:54.257812,1,140,9,1
user_10,2023-12-12 09:40:26.928452,0,71,7,0
user_6,2023-11-07 05:14:58.279986,1,79,0,0
user_2,2023-01-12 02:45:23.029252,1,451,1,0
user_5,2023-10-05 14:36:13.974297,0,417,7,0
user_8,2023-09-05 16:49:40.212607,1,175,7,0
user_2,2023-02-26 14:18:42.758870,1,239,16,0
user_3,2023-07-13 08:49:36.705158,1,59,16,0
user_1,2023-03-14 19:56:35.768979,0,56,9,0
user_9,2023-10-19 08:09:45.247520,0,90,17,0
user_7,2023-02-06 01:53:45.349076,1,13,12,0
user_6,2023-04-15 19:12:39.045290,1,339,9,0
user_9,2023-10-16 11:31:06.196162,0,121,14,0
user_7,2023-01-20 00:48:46.305152,0,173,11,1
user_7,2023-05-19 14:56:11.823008,0,93,7,0
user_1,2023-04-28 14:26:39.532665,1,214,3,0
user_8,2023-12-20 16:14:26.135890,0,98,5,0
user_5,2023-10-23 21:00:25.930361,0,486,4,0
user_5,2023-10-26 02:21:48.596313,1,434,2,0
user_7,2023-09-19 14:43:45.275706,1,411,10,0
user_6,2023-01-12 15:01:54.685292,1,378,2,0
user_2,2023-12-26 13:00:40.684921,0,128,14,0
user_3,2023-06-16 02:20:44.733821,1,414,12,0
user_10,2023-05-12 22:21:46.129748,0,477,11,1
user_5,2023-08-24 05:08:42.242148,1,421,5,0
user_8,2023-08-24 08:01:00.015182,0,23,3,0
user_4,2023-01-07 22:14:48.176265,0,570,7,0
user_10,2023-02-14 04:09:27.428581,1,11,4,0
user_7,2023-08-12 15:17:11.797041,0,328,2,1
user_10,2023-11-17 03:28:40.354023,0,287,1,0
user_1,2023-10-28 16:38:23.863290,1,396,4,0
user_6,2023-05-21 17:38:27.082070,0,333,2,0
user_9,2023-03-25 09:29:49.590124,0,494,2,0
user_6,2023-01-18 04:44:24.423990,0,558,4,1
user_9,2023-05-26 06:08:24.078034,0,62,19,0
user_10,2023-04-03 07:12:14.537553,0,507,6,0
user_10,2023-10-28 21:24:01.249632,0,354,6,0
user_7,2023-03-25 11:45:55.139899,1,115,8,1
